1	nld	Als je het wat langzamer doet, gaat het vlugger.	1
2	eng	If you do it a bit slower, it goes quicker.	1
3	fra	Si tu le fais un peu plus lentement, ça va plus vite.	2
4	rus	Если делать это медленнее, то дело пойдёт быстрее.	1
5	nld	Duitsland is een parlementaire republiek.	1
6	eng	Germany is a parliamentary republic.	1
7	rus	Германия — парламентская республика.	1
8	fra	L'Allemagne est une république parlementaire.	2
9	est	Kosmoses ei kuule keegi su karjumist.	3
10	rus	Никто в космосе не услышит твоего крика.	1
11	fra	Dans l'espace, personne ne peut t'entendre crier.	2
12	eng	In space, no one can hear you scream.	1
13	est	Kui vana teie vanaema on?	3
14	rus	Сколько лет вашей бабушке?	1
15	eng	How old is your grandmother?	2
16	est	Ma ei taha töötada nendes tingimustes.	1
17	eng	I don't want to work under these conditions.	1
18	rus	Я не хочу работать в таких условиях.	2
19	nld	Ik wil onder deze omstandigheden niet werken.	4
20	fra	Je ne veux pas travailler dans de telles conditions.	4
21	est	Eile sadas lund.	4
22	fra	Hier il a neigé.	5
23	eng	Yesterday snow fell.	1
24	rus	Вчера выпал снег.	4
25	nld	Dit is een paard.	5
26	est	See on hobune.	2
27	rus	Это лошадь.	3
28	fra	C'est un cheval.	1
29	eng	This is a horse.	2
30	rus	Вчера было воскресенье.	3
31	eng	Yesterday was Sunday.	4
32	est	Eile oli pühapäev.	1
33	eng	It was Sunday yesterday.	2
34	fra	Hier, c'était dimanche.	5
35	est	Kuu on Maa looduslik kaaslane.	5
36	eng	The earth's moon is a natural satellite.	2
37	fra	La lune de la Terre est un satellite naturel.	5
38	rus	Луна Земли - это естественный спутник.	4
39	nld	De vlaggen van de wereld wapperen trots bij het hoofdkwartier van de Verenigde Naties.	5
40	eng	Flags of the world fly proudly at the United Nations headquarters.	4
41	fra	Les drapeaux du monde flottent fièrement devant le siège des Nations Unies.	3
42	rus	Флаги всего мира гордо реют перед штаб-квартирой ООН.	2
43	eng	Many famous artists live in New York.	4
44	nld	Veel beroemde artiesten wonen in New York.	5
45	rus	Многие известные артисты живут в Нью-Йорке.	2
46	rus	Он отправился в кровать, поскольку устал.	4
47	nld	Hij ging naar bed, omdat hij moe was.	4
48	eng	He went to bed because he was tired.	2
49	nld	Spreekt u Frans?	4
50	est	Kas te räägite prantsuse keelt?	1
51	eng	Do you speak French?	1
52	fra	Parlez-vous français?	3
53	rus	Вы говорите по-французски?	2
54	nld	Ik zie geen verschil.	5
55	eng	I don't see any difference.	4
56	rus	Я не вижу никакой разницы.	2
57	nld	Ik herstel het huis.	5
58	nld	Ik repareer het huis.	3
59	rus	Я ремонтирую дом.	1
